S/N,Model,Headset,Info
388000006,BG 5,GK3C281 0 608 800 079,speed error- wymiana silnika na 390000005 // 2019-08-22 09:24:10
C646119,ETV S7-50-10CTADS, ,cofni�te piny serwis  // 2018-01-22 14:52:39
655080,Cleco IRDa 47BA28AM3,Z�OM, 
F4830883,ETV ST61-28-10, ,Skalibrowano
F4850230,ETV ST-81-200-20, , 
F4850228,ETV ST-81-200-20, , 
283000003,ECH57MG 0 608 841 011,0 608 PE0 850, 
390000008,ECH26MG 0 608 841 017,Lubbering, 
D4822335,ETP STB33-12-I06-BCR-W,ATLAS COPCO WLAN, // 2019-05-21 13:16:48
D4822336,ETP STB33-12-I06-BCR-W,ATLAS COPCO WLAN, // 2019-09-20 21:23:03
12000017,ECH26MG 0 608 841 017,Lubbering 80431004,MP110 po prze�o�eniu na Lubberinga
F4842898,ETV ST31-15-10, ,Schnellecke
F4852171,ETV ST31-15-10, ,Schnellecke
2545.1270,BLM LINE WRENCH, ,POPRAWKA PO LUEBBERINGU na Takcie 1 - ZP8
F4851276,ETV ST61-70-13, , 
F5361089,ETV ST61-70-13, , // 2018-11-26 13:08:03
C1530418,ETP STB32-06-I06-BCR, ,Po�yczony od Atlas Copco
210000109,BG 4,4W4 0 608 810 014 ,   
210000108,BG 4,4VMC360 0 608 801 006, 
305000006,ECH26MG 0 608 841 017,WH2 0 608 810 040,Nieu�ywana z Front T6
F5691691,ETV ST61-100-13,,W labo do sprawdzenia E543 // 2019-05-16 00:08:28
F5691690,ETV ST61-100-13,Luebbering 80442402, 
C5701945,ETV STB33-15-10BCRW, ,E535 // 2018-10-22 04:59:14
C5701946,ETV STB33-15-10BCRW, ,W naprawie w CWN // 2017-10-09 13:06:07
D5480718,ETP STB33-12-10-BCRW, ,e623 // 2019-09-03 23:03:43
D5480717,ETP STB33-12-10-BCRW, ,u nas w labo wkretarka awaryjna na ML1T13 // 2019-04-11 18:32:41
D4811716,ETP STB33-12-I06BCRW, , // 2018-09-17 17:25:14
D5401640,ETP STB33-12-I06BCRW, ,Skalibrowane IO CMK=3
387000018,ECH16MG 0 608 841 016, , 
382000012,ECH16MG 0 608 841 016, , 
384000010,ECH16MG 0 608 841 016, WH1 0 608 810 035, 
192000019,ECH16MG 0 608 841 016, , 
687000001,ECH16MG 0 608 841 016, , 
389000029,ECH57MG 0 608 841 011,WH4 0 608 810 031, 
286000015,ECH57MG 0 608 841 012, , 
289000013,ECH57MG 0 608 841 013,WH4 0 608 810 031, 
106000025,ECH57MG 0 608 841 014, , 
289000016,ECH57MG 0 608 841 015,0 608 PE0 850,TTran 1: zero error przestawiony punkt zerowy transduktora // 2017-09-10 19:03:28
690000002,ECH57MG 0 608 841 016,WH4 0 608 810 031, 
203000009,ECH57MG 0 608 841 016, , 
289000011,ECH57MG 0 608 841 016,WH4 0 608 810 031,zdemontowana po dwukrotnym wyst�pieniu b�edu na LTH / J�drzej // 2017-02-21 16:09:55
WEC0016,ECH16MG 0 608 841 016, , 
D1420858,ETV STB62-50-10-BCR, , 
207000225,BG 4,4VMC360 0 608 801 006, 
E1840358,ETV STB32-30-B10-BCR, Klucz Leitgebera do Raku Raku, 
STANLEYE,A32LRA1CT-4,Pneumaty na Takcie 10 , 
F5822349,ETV ST81-70-13, , 
F5640049,ETV ST61-70-13, , 
09067256,HCXBW1064WV38GF, , 
09068131,HCXBW1025WV38,,
09068136,HCXBW1039WV38,,
09068100,HCXBW1039WV38,,
09068102,HCXBW1039WV38,,
09068103,HCXBW1039WV38,,
09068140,HCXBW1064WV38,,
09068096,HCXBW1064WV38,,
09067237,HCXBW1039WV38, ,g�owica k�towa/przek�adnia planetarna - serwis // 2019-06-19 18:57:33
09067239,HCXBW1039WV38, ,Uszkodzony przycisk // 2019-01-18 20:56:08
9059374,HCXBW1039WV38, ,Zdjeta z 10MT002_Prawa - problemy z komunikacj� - Serwis // 2017-11-24 16:26:47
9059373,HCX1039WV38, ,Brak zasilania - Naprawa w CWN // 2019-05-17 19:53:19
9059358,HCXBW1039WV38, ,Po te�cie komunikacji WLAN - IO // 2018-09-14 06:21:16
384000017,BG 5,GK3C281 0 608 800 079 5MC500, 
D5831117,ETP STB33-12-10CRW, , 
D5831116,ETP STB33-12-10CRW, ,E841 // 2019-05-10 15:55:28
F5803020,ETV ST81-70-13, , 
F5803022,ETV ST81-70-13, , // 2017-03-05 08:40:01
F5801148,ETV ST61-70-13, , 
F5801145,ETV ST61-70-13, , 
F5810292,ETV ST61-30-10,Backup na Zak�ad 4,po przegl�dzie Z4 // 2019-01-29 00:39:31
F5810290,ETV ST61-30-10, , 
F5800517,ETV ST61-30-10, , 
F6431963,ETV ST61-50-10, , 
C5803028,ETV STB63-30-10-BCR-W,Tymczasowa na T59L od AC , 
C6401761,ETV ST101-370-20, , 
C4760847,ETV STB33-15-10W-HD, , // 2018-09-27 00:37:45
C5581595,ETV STB33-15-10W-HD, ,E622 Kryspin  // 2017-06-08 12:28:34
C5540452,ETV STB33-30-10-BCRW, , // 2019-04-14 12:41:20
9059650,HCXBW1039WV38,Wypo�yczone z AMT na backup, 
F6463243,ETV ST61-100-13,nowe - spawalnia , 
F6463246,ETV ST61-100-13,nowe - spawalnia , 
F6451384,ETV ST61-28-10,nowe - spawalnia , 
F6471221,ETV ST61-70-13,nowe - spawalnia , 
F6451389,ETV ST61-28-10,nowe - spawalnia , 
F6451385,ETV ST61-28-10,nowe - spawalnia , 
F6450974,ETV ST61-28-10,nowe - spawalnia , 
F6463424,ETV ST61-50-10,nowe - spawalnia , 
F6463421,ETV ST61-50-10,nowe - spawalnia , // 2017-06-12 21:31:27
F6463444,ETV ST61-50-10,nowe - spawalnia , 
C5461529,ETV STB33-30-10-BCRW, , 
C5461532,ETV STB33-30-10-BCRW, ,uszkodzony modu� komunikacyjny // 2018-04-03 19:37:59
C6471185,ETV STB63-70-13-IRC-W,nowe - spawalnia , // 2018-08-28 15:59:10
C6442268,ETV STB63-70-13-IRC-W,nowe - spawalnia ,M140/4 - niewlasciwa praca taga - przypisywanie blednego KNR. - Kryspin // 2016-11-26 00:04:04
F6442473,ETV ST31-20-10,nowe - spawalnia , 
F6463443,ETV ST61-50-10,nowe - spawalnia , 
F6451776,ETV ST31-20-10,nowe - spawalnia ,zdj�ta do kalibracji // 2018-05-21 23:17:27
D6600466,ETP STB33-12-10CRW, , // 2019-04-18 05:59:29
D6600467,ETP STB33-12-10BCRW, , // 2019-06-05 11:18:07
D6600468,ETP STB33-12-10CRW, ,Do di@GNOZy - piszczy przy 4Nm+NOKi w wynikach  // 2019-09-17 05:18:01
C574031,ETV S7-50-10CTADS, ,uszkodzone LED // 2018-06-14 13:07:56
C574047,ETV S7-50-10CTADS, , 
C5460811,ETV STB33-15-10W-HD, ,E535 Serwis // 2019-06-01 15:33:14
C6602015,ETV ST101-370-20, , 
C6450408,ETV STB63-30-10-BCR-W, , // 2018-10-28 21:18:17
F6671798,ETV ST61-50-10-BCR, ,Uszkodzony cyngiel // 2017-02-28 05:49:10
F6671797,ETV ST61-50-10-BRC, ,uszkodzony pin  // 2018-06-06 19:43:13
C6450407,ETV STB63-30-10-BCR-W, ,uszkodzony przycisk // 2019-01-19 08:33:14
F6681131,ETV ST61-28-10, , 
F6710312,ETV ST61-50-10, ,e131 Kryspin takt 9 // 2017-08-12 16:50:31
F6702342,ETV ST61-70-13, , 
C6711838,ETV STB63-40-10-BCR-W, ,E624 w CWN // 2019-03-22 17:52:21
C6711839,ETV STB63-40-10-BCR-W, , // 2017-10-17 23:23:31
F6682207,ETV ST61-100-13, , // 2019-06-01 21:14:48
09067229,HCX1019ZL,LUBB 89131414,
F6602704,ETV ST31-20-10, , 
D6712141,ETP STB33-12-10-BCRW, , 
D6712140,ETP STB33-12-10-BCRW, ,Testy komunikacji - monta� na T50 na testy // 2017-01-12 11:58:08
D6711841,ETP STB33-12-10-BCRW, , // 2018-06-02 11:25:19
C6711679,ETV STB33-20-BCR-W, ,Cz�ste utraty po��czenia
C6661225,ETV STB63-70-13-IRC-W, , // 2017-10-24 05:37:22
D6712139,ETP STB33-12-10-BCRW, ,E721 // 2019-09-16 19:40:55
C6711681,ETV STB33-20-BCR-W, , // 2019-04-18 05:56:57
D6712137,ETP STB33-12-10-BCRW, ,E113-current limit reached // 2019-06-24 13:12:50
D6712136,ETP STB33-12-10-BCRW, ,E522 problem z komunikacj�- JJ // 2018-01-18 19:14:50
C6661228,ETV STB63-70-13-IRC-W, ,W labo na testy komunikacji. Przycisk (trigger) do przelutowania.  // 2019-04-13 02:45:21
C6711680,ETV STB33-20-BCR-W, , // 2017-12-28 23:43:47
C0470864,ETV STR61-150-HAD,4210 3513 41,
C0590125,ETV STR61-150-HAD, , 
C9830586,ETV STR61-150-HAD,4210 3513 41,
A6551604,ETP STR61-30-10, , // 2017-02-27 09:28:57
886000180,BG3 G2A152 3MC060,starszy typ transduktor�w - SCR, 
886000176,BG3 G2A152 3MC060,starszy typ transduktor�w - SCR,Do kalibracji - LT303! // 2016-11-13 20:12:59
886000189,BG3 G2A152 3MC060,starszy typ transduktor�w - SCR,Do kalibracji - LT303! // 2016-11-13 20:11:34
C6491298,ETV STB63-50-10W, , // 2017-03-29 17:39:40
419000107,BG3 G2A152 3DMC060,nowszy typ transduktor�w - SCR, 
419000108,BG3 G2A152 3DMC060,nowszy typ transduktor�w - SCR, 
419000109,BG3 G2A152 3DMC060,nowszy typ transduktor�w - SCR, 
D6771000,ETP STB33-12-10-BCRW, ,po naprawie
C6790642,ETV STB33-20-BCR-W, , Prawdopodobnie uszkodzona grupa elektorniczna // 2019-02-16 19:35:46
C6790643,ETV STB33-20-BCR-W, ,Do kalibracji i na backup Z4 // 2017-01-03 09:49:10
F6681590,ETV ST81-50-10, ,W naprawie
B6720339,ETV STB63-50-10BCRB, , 
F6771041,ETV ST81-50-10, , // 2018-01-22 10:55:02
459000003,ESV073 ,0 608 810 052 + Special version,TEST ERGOSPIN MP4.2
C7391105,ETV STB63-70-13-IRC-W, , 
09061535,HCXBW1039WV38DS, , 
A0501708,ETV STB 64-50-10-W,Luebbering 80231017, 
A0501707,ETV STB 64-50-10-W,Luebbering 80231017,
09061534,HCXBW1039WV38DS, ,Przerywana praca skanera. // 2017-08-29 00:13:30
F6711920,ETV ST61-70-13,Luebbering 89451201, 
F7430994,ETV ST61-70-13,  , 
F7430997,ETV ST61-70-13,  ,zdjeta do kalibracji // 2018-05-21 23:20:10
C7402881,ETV STB63-50-10W,  , // 2018-09-27 00:38:20
C7460981,ETO STB63-15DH11LI3W,A-nr: 89131302, // 2018-09-14 06:50:03
C7460983,ETO STB63-15DH11LI3W,A-nr: 89131302, // 2019-05-20 09:58:24
C7460984,ETO STB63-15DH11LI3W,A-nr: 89131302,Do kalibracji po wymianie g�owicy // 2018-10-04 17:07:09
C7460985,ETO STB63-15DH11LI3W,A-nr: 89131302, // 2019-09-12 17:16:25
C0431982,ETO STB63-15DH11LI3W,A-nr: 89131707,Do analizy przez Atlas kopytko // 2019-07-03 05:01:23
C6840567,ETV STB63-30-10-BCR-W, , 
F6750229,ETV ST61-30-10, , 
C7553140,ETV STB63-50-10-W, , // 2018-09-30 07:22:44
C7600069,ETV STB63-50-10-W, , 
C7731775,ETC STB63-28-10-LO5, ,Kalibracja z 23.03 - brygada D // 2018-04-24 07:52:22
C7731774,ETC STB63-28-10-LO5, , // 2019-02-25 08:01:03
09063005,HCXBW1050WV38BDS, , 
09063000,HCXBW1025WV38BDS, , // 2019-09-03 23:22:27
09068310,HCXBW1025WV38BDS, , 
09062998,HCXBW1039WV38BDS, , // 2018-01-04 13:18:19
09062997,HCXBW1039WV38BDS, ,ok // 2019-08-30 18:36:42
09063004,HCXBW1050WV38BDS, , // 2018-09-17 18:20:21
09062990,PCXBW1011ZH14DS, ,uszkodzony skaner pucha // 2019-04-09 12:47:50
09063001,HCXBW1025WV38BDS, ,Jedrzej // 2018-10-23 12:39:15
09067234,HCXBW1025WV38BDS, , 
09063002,HCXBW1025WV38BDS, ,Uszkodzony skaner // 2019-01-08 11:39:59
09062992,PCXBW1011ZH14DS, ,J�drzej // 2019-05-13 10:51:22
09068142,PCXBW1011ZV38, , 
09062993,PCXBW1011ZH14DS, ,Serwis // 2019-02-26 06:57:11
09066886,HCX1040ZLGF, ,Niskie Cmk // 2019-03-17 06:03:12
09062991,PCXBW1011ZH14DS, , // 2017-02-27 05:20:29
09062994,PCXBW1011ZH14DS, ,uszk skaner  // 2019-08-31 15:27:14
09062995,PCXBW1011ZH14DS, ,W diagnozie
09063003,HCXBW1025WV38BDS, ,Przygotowany do podmiany na T60 (w�o�y� bateri�) - S�awek
09068293,HCXBW1025WV38,,
09068294,HCXBW1025WV38,,
09062999,HCXBW1025WV38BDS, ,DO LOKALIZACJI\ // 2019-09-02 23:54:59
226,NEXO, , 
09062996,HCXBW1039WV38BDS, , // 2018-09-24 19:40:04
881000007,BG 5,0 608 PE1 095; 0 608 PE1 465; 0 608 PE1 484 ,Backup na OP80
9059970,PCXBW1011ZV38, , 
C8810549,ETD ES61-30-10-T25, , 
C8810548,ETD ES61-30-10-T25, , 
F6531545,ETV ST61-50-10, ,Wy�amany pin wrzeciona // 2018-10-12 01:52:56
C8810547,ETD ES61-30-10-T25, , 
F9421360,ETV ST31-15-10, , 
F9421359,ETV ST31-15-10, , 
620900002,ECH 57,WH4 0 608 810 031,  
653000007,BG5,3609407374, Konfiguracja tymczasowa za 387000007
F9470033,ETV ST61-50-10, ,brak obrotow lewo prawo/e131 // 2019-08-20 13:19:10
F9480130,ETV ST61-50-11, , // 2019-08-30 15:31:17
F8740914,ETV ST61-50-FS, , 
09065915,PCXBW1011ZH14DS,  , 
09065937,HCX1050WV38, , 
09065938,HCX1050WV38, , 
09065939,HCX1050WV38, , 
09065936,, , 
09065934,HCX1032WV38, ,
09065916,PCXBW1011ZH14DS, ,Po kalibracji - IO
F9711173,ETV ST61-150-13, , 
F9760556,ETV ST61-150-13, , 
09065919,HCXBW1039WV38BDS, , 
09065935,HCXBW1032WV38, , 
720900001,ECH57MG 0 608 841 013,WH4 0 608 810 031,Nieu�ywana z MP110/MP120 
F9792080,ETV ST61-50-10, , 
F9792083,ETV ST61-50-10,  ,  
F9792084,ETV ST61-50-10, , 
F8740911,ETV ST61-50-FS, , 
F9770413,ETV ST61-150-13, , 
09066456,HCXBW1025WV38DS, , 
09066455,HCXBW1025WV38DS, , 
09067235,HCXBW1025WV38DS, , 
09066604,HCXBW1039VW38 ,, // 2019-02-11 13:08:01
09066176,HCXBW1027ZLDS, ,niskie cmk przekazano na serwis /// Kryspin  // 2019-02-17 21:39:43
09066190,HCX1040ZLGF,LUBB 80331804,Niskie Cm i Cmk
09066189,HCX1040ZLGF,LUBB 80331804,
09066186,HCX1040ZL,LUBB 80331804,
09066180,HCX1040ZL,LUBB 80331804, // 2019-02-25 08:39:57
09066185,HCX1040ZL,LUBB 80331804,NARZEDZIE W SERWISIE AMT MONTA� GYRO
09066187,HCX1040ZLGF,LUBB 80331804, CMK<1 // 2019-01-28 07:51:09
09066183,HCX1040ZLGF,LUBB 80331804,CMK<1
09066181,HCX1040ZL,LUBB 80331804,Naprawa gwarancyjna - zdemontowana z OP30 k152 // 2019-04-14 13:56:58
09066174,HCXBW1027ZLDS, LUBB 89131706, 
09066188,HCX1040ZLGF,LUBB 80331804,serwisie po NiO kalibracji // 2019-02-25 11:06:18
09066184,HCX1040ZLGF,LUBB 80331804,g�owica do naprawy cmk<1 // 2019-02-03 05:17:03
09066887,HCX1040ZLGF,LUBB 80331804,Narz�dzie na gwarancji - wys�anie do serwisu // 2019-02-26 06:34:00
09066173,HCXBW1027ZLDS, LUBB 89131700, // 2019-02-25 08:00:22
09066172,HCXBW1027ZLDS, LUBB 89131700, // 2018-08-23 08:19:42
09066178,HCXBW1027ZLDS, LUBB 89131700, 
09066175,HCXBW1027ZLDS, LUBB 89131700, // 2019-02-25 08:00:25
09065940,HCX1019ZL,LUBB 80231509, 
09066179,HCXBW1027ZLDS, LUBB 89131700,utrata komunikacji Kieryk/Pucha // 2019-07-16 06:31:55
09066088,ECR334WDR450SWD300-700L,LUBB 90946062+8064401, 
09066089,ECR334WDR450SWD300-700L,LUBB 90946062+8064401, 
09066090,ECR334WDR450SWD300-700L,LUBB 90946062+8064401, 
09066171,HCXBW1027ZLDS, LUBB 89131700, 
09066177,HCXBW1027ZLDS, LUBB 89131706,W testach z FW 1.8.2.4- nadal w testach - aktualizacja  17.07-- konieczno�� kalibracji // 2019-07-17 19:51:07
09065941,HCX1019ZL,LUBB 80231509,Po kalibracji w labo. Czeka na odbi�r przez planowanie - Janusz // 2018-02-24 18:20:55
09067241,HCXBW1039WV38DS,,
09065918,HCXBW1039WV38DS, , 
09065917,PCXBW1011ZH14DS, ,G�o�na praca narz�dzia
09065931,HCX1025VW38L, , 
09066182,HCX1040ZLGF+LUBB,LUBB 80331804, 
09068141,HCXBW1064WV38,,
09068144,PCXBW1011ZV38,,
09068143,PCXBW1011ZH14,,
09068095,HCXBW1064WV38,,
09068138,HCXBW1039WV38, , 
09068137,HCXBW1039WV38,,
09068139,HCXBW1039WV38,,
09068101,HCXBW1039WV38,,
09066873,HCXBW1025WV38, , 
09066874,HCXBW1025WV39, , 
09066170,HCXBW1027ZLDS, LUBB 89131706, 
G0531334,QST50-90CTTA-T50-L337-H13, , 
G0500922,QST50-90CTTA-T50-L337-H13, , 
G0520199,QST50-90CTTA-T50-L337-H13, , 
G1562191,QST50-90CTTA-T50-L137-H13, , 
G0520920,QST50-90CTTA-T50-L337-H13, , 
G0531333,QST50-90CTTA-T50-L337-H13, , 
G0531335,QST50-90CTTA-T50-L337-H13,  ,  
G0500921,QST50-90CTTA-T50-L337-H13,  ,  
G0520198,QST50-90CTTA-T50-L337-H13, ,  
G0850496,QST62-350CTTA-T50-L152-H19, , 
G0850495,QST62-350CTTA-T50-L152-H19, , 
G0850493,QST62-350CTTA-T50-L152-H19, , 
G0850494,QST62-350CTTA-T50-L152-H19, , 
C0550146,ETV ST101-320-21-LO5,OHOBM3109.C,
C0600558,ETV ST101-320-21-LO5,OHOBM3109.C,
C0550148,ETV ST101-320-21-LO5,OHOBM3109.C, 
C0600559,ETV ST101-320-21-LO5,OHOBM3109.C, 
G0500909,QST50-150CTTA-T50-L137-H13, , 
G0511900,QST50-150CTTA-T50-L137-H13, , 
A0640899,ETP STB34-12-106BD-W, , 
A0640900,ETP STB34-12-106BD-W, , 
A0640901,ETP STB34-12-106BD-W, , 
A0671325,ETV STB34-30-10-BD-W, ,
A0800810,ETV STB34-30-10-BD-W, , 
A0670683,ETV STB34-30-10-BD-W, , 
A0601665,ETV STB34-30-10-BD-W, ,w labo na testy komunikacji // 2019-03-15 01:38:04
A0772525,ETP STB34-12-106BD-W, , 
G0712608,QST50-150CTTA-T50-L137-H13, , 
G0500910,QST50-150CTTA-T50-L137-H13, , 
C9710450,ETV STR61-70-13, , 
C0561083,ETV STR61-100-13, , 
C0561177,ETV STR61-150-13, , 
C0701047,ETV STR60-90-13, , 
C0701048,ETV STR60-90-13, , 
C0790858,ETV STR61-150-13+LUBBERING,LUBB 80422802, 
C0561089,ETV STR61-150-13, , 
C9781079,ETV STR61-150-13, , 
C9781076,ETV STR61-150-13, ,  
C9781107,ETV STR61-150-13, ,
C0561174,ETV STR61-150-13,LUBBERING A-Nr:80422802 S-Nr:938198, 
C9750346,ETV STR61-70-13,,
C9750347,ETV STR61-70-13,,
C9800348,ETV STR61-150-HAD,,
C9800349,ETV STR61-150-13,,
C0561090,ETV STR61-150-13,,
C0761713,ETV STR61-150-13,,
C0671976,ETV STR61-150-13, , 
C0801466,ETV STR61-100-13, , 
C0801464,ETV STR61-100-13, , 
C9781109,ETV STR61-150-13,  ,  
C9800347,ETV STR61-150-HAD, , 
C9800350,ETV STR61-150-HAD,,
09067251,PCXBW1021ZV38DS, ,Maciej
09067249,PCXBW1021ZV38DS,  , // 2019-07-16 10:54:55
09067250,PCXBW1021ZV38DS,  ,Uszkodzony skaner  // 2019-03-04 12:51:57
09067533,PCXBW1021ZV38DS, , 
09067252,PCXBW1021ZV38DS,,uszkodzony skaner // 2019-06-29 19:32:49
09067247,PCXBW1011ZV38DS,,Wy�wietlacz na skanerze nie dzia�a // 2019-09-17 20:12:40
09067253,PCXBW1021ZV38DS, , // 2019-07-17 20:05:25
09067527,PCXBW1021ZV38DS, , 
09067254,PCXBW1021ZV38DS, ,Uruchomiona na nowym stanowisku - takt 57 // 2019-06-25 11:08:43
C9781077,ETV STR61-150-13,   ,  
C0750426,ETV STR61-30-10,,
C0801463,ETV STR61-150-13,,
C0761706,ETV STR61-150-13, , 
09065902,PCXBW1011ZH14DS,,
A0711672,ETP STB34-06-10-BD-W,,
A0601216,ETP STB34-06-10-BD-W, , 
09067523,HCXBW1025WV38DS, ,
09067522,HCXBW1039WV38DS,, 
09067236,HCXBW1025WV38DS, , 
09067232,HCXBW1015WV14DS,,niskie momenty
09068034,HCXBW1015WV14DS, , 
09067233,HCXBW1015WV14DS, , 
09067525,HCXBW1039WV38DS, ,
09068197,HCXBW1064WV38, , 
09067528,HCXBW1064WV38GF, ,
09067524,HCXBW1039WV38DS, , 
09067243,HCXBW1039WV38DS, ,Po VDI
09067242,HCXBW1039WV38DS, ,
09067532,PCXBW1011ZH14DS, , 
09067240,HCXBW1039WV38DS, ,
C9830845,ETV STB63-50-10BCRW,LUBB 89131302, // 2019-05-26 23:57:43
A0840780,ETV STB64-100-13-BD-W, , 
09067255,PCXBW1021ZV38DS, , 
09068099,HCXBW1064WV38, , 
09068195,HCXBW1064WV38, , 
09068097,HCXBW1064WV38, , 
A0810283,ETV STB64-100-13-BD-W, , 
09065932,HCX1025WV38L,LUBB , 
09065933,HCX1025WV38L,LUBB 80231502, // 2019-02-25 08:00:40
09067238,HCXBW1039WVBDS,,G�o�na praca g�owicy // 2019-02-27 02:27:50
09067526,PCXBW1011ZH14DS,,
A0781157,ETP STB34-06-10-BD-W, , 
09067724,HCXBW1015WV14DS,,
09067246,PCXBW1011ZH14DS, ,
09067248,PCXBW1011ZH14DS,,
09067530,PCXBW1015WV14DS, ,
C1410928,ETV STR61-30-10,,
C1511931,ETV STR61-30-10,,
C1480765,ETV STR31-15-10,,
C1480759,ETV STR31-15-10, , 
09068243,HSX2087ZV12,,
09068283,ESX213U2DWAX140AZX250,,spawalnia Z1
09068287,ESX213U2DWAX140AZX250, ,spawalnia Z1
09068292,ESX213U2DWAX140AZX250, ,spawalnia Z1
09068289,ESX213U2DWAX140AZX250, ,spawalnia Z1
09068290,ESX213U2DWAX140AZX250, ,spawalnia Z1
09068286,ESX213U2DWAX140AZX250, ,spawalnia Z1
09068284,ESX213U2DWAX140AZX250, ,spawalnia Z1
09068288,ESX213U2DWAX140AZX250, ,spawalnia Z1
09068291,ESX213U2DWAX140AZX250, ,spawalnia Z1
09068285,ESX213U2DWAX140AZX250, ,spawalnia Z1
09068223,HSX1050WV38, , 
09068221,HSX1032WV38,,
09068222,HSX1032WV38,,
09068235,HSX1032WV38T, , 
09068234,HSX1032WV38T,,
09068196,HCXBW1064WV38,,
09068094,HCXBW1064WV38,,
09068098,HCXBW1064WV38,,
09068295,HSX1050WV38GF,,
09068296,HSX1050WV38GF,,
09068329,KSX1025ZL,,
09068330,KSX1025ZL,,
09068331,KSX1025ZL,,
09068332,KSX1025ZL,,
09068233,PCXBW1011ZV38DS,,
09068216,PCXBW1011ZV38DS,,
09068231,HCXBW1039WV38DS,,
09068237,HSX1032WV38T, , 
09068238,HSX1032WV38T,,
09068240,HSX1032WV38T,,
09068241,HSX1032WV38T,,
09068239,HSX1032WV38T, , 
09068244,HSX1064WV38S,,
09068122,HSX1025WV38,,
09068225,HSX1100WV12,,
09068226,HSX1100WV12,,
09068123,HSX1025WV39,,
09068563,HSX1025WV39, , 
09068241,HSX1039WV38,,
09068242,HSX2087ZV12, , 
09068229,HSX1100WV12,,
09068219,HSX1015WV14, , 
09068562,HSX1015WV14, , 
09068224,HSX1050WV38,,
09068565,HSX1050WV38,,
09068566,HSX1064WV38,,
09068569,HSX1050WV38GF, , 
09068568,HSX2150WV12, , 
09068236,HSX1032WV38T, , 
09068220,HSX1015WV14, , 
09068406,HCXBW1011ZLDS, , 
09068407,HCXBW1011ZLDS, , 
C1480767,ETV STR31-15-10,  , 
C1481596,ETV STR61-50-10, , 
C1511929,ETV STR61-30-10, , 
C1480758,ETV STR31-15-10, , 
C1480766,ETV STR31-15-10,, 
859000149,BG 4,4VMC360 0 608 801 006, 
09068297,KSX1058WV38,,
09068298,KSX1058WV38,,
09068214,HCXBW1025WV38DS,,
09068230,HCXBW1025WV38DS,,
09068120,HCXBW1039WV38DS,,
09068307,HCXBW1039WV38DS,,
09068309,HCXBW1039WV38DS,,
09068308,HCXBW1039WV38DS,,
09068125,HCXBW1039WV38,,
09068633,HSX2250WV34, , 
09068634,HSX2250WV34, , 
G1542739,QST50-90CTTA-T50-L137-H13, , 
G1542740,QST50-90CTTA-T50-L137-H13, , 
G1542741,QST50-90CTTA-T50-L137-H13, , 
G1542742,QST50-90CTTA-T50-L137-H13, , 
H1600012,QST80-400VTTV, , 
H1600011,QST80-400VTTV, , 
H1600010,QST80-400VTTV, , 
H1541093,QST80-600CTTA-T50-L146-H19, , 
H1541094,QST80-600CTTA-T50-L146-H19, , 
G1601004,QST62-350CTTAV, , 
G1601005,QST62-350CTTAV, , 
09068121,PCXBW1011ZV38DS,,  
09068232,HCXBW1064WV38,,
G1521005,QST62-230CTTA-T50-L152-H19, , 
G1391817,QST62-230CTTA-T50-L152-H19, , 
G1491218,QST62-230CTTA-T50-L152-H19, , 
09067195,KCX1025ZL, , 
G1521329,QST62-350CTTA-T50-L152-H19, , 
09068694,PSX1015ZV38,,
09068693,PSX1015ZV38,,
09068632,HSX2250WV34, , 
09068567,HSX1100WV12,,
09068564,HSX1032WV38,,
A1430811,ETV STB 64-30-10-W,,
A1500735,ETV STB 64-70-13-W,,
09068531,KSX1025ZL,,
09068532,KSX1025ZL,,
